trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4
2,0.3100726245330567,1,Composite,5,1,81,0.845675990977649,-0.1041896016913404,1,5418.200000047684,,,,
2,0.3100726245330567,1,Composite,5,2,365,0.694030819727656,0.685261290792694,0,,,,,
2,0.3100726245330567,1,Composite,5,3,365,0.7063522929908548,0.29147264961450836,0,,,,,
2,0.3100726245330567,1,Composite,5,4,365,0.7748745415213529,-0.7297325073922836,0,,,,,
2,0.3100726245330567,1,Composite,5,5,322,0.6938669110628439,1.4608459612927982,1,14006.599999904633,,,,
2,0.3100726245330567,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,131469.59999990463,375.0,,,
3,0.3018814238757072,1,None,0,0,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,0,1,128,0.8,0,1,2105.200000047684,,,,
3,0.3018814238757072,1,None,0,2,105,0.8,0,1,4649.400000095367,,,,
3,0.3018814238757072,1,None,0,3,329,0.8,0,1,4960.5,,,,
3,0.3018814238757072,1,None,0,4,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,0,5,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,0,6,18,-0.8,0,1,7884.5,,,,
3,0.3018814238757072,1,None,0,7,26,0.8,0,1,8195.900000095367,,,,
3,0.3018814238757072,1,None,1,0,323,0.8,0,1,1696.9000000953674,,,,
3,0.3018814238757072,1,None,1,1,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,1,2,310,0.8,0,1,4387.5,,,,
3,0.3018814238757072,1,None,1,3,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,1,4,375,0.8,0,1,5901.800000190735,,,,
3,0.3018814238757072,1,None,1,5,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,1,6,38,-0.8,0,0,,,,,
3,0.3018814238757072,1,None,1,7,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,2,0,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,2,1,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,2,2,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,2,3,285,0.8,0,1,5599.100000143051,,,,
3,0.3018814238757072,1,None,2,4,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,2,5,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,2,6,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,2,7,8,0.8,0,1,9065.800000190737,,,,
3,0.3018814238757072,1,None,3,0,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,3,1,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,3,2,117,0.8,0,1,3950.400000095368,,,,
3,0.3018814238757072,1,None,3,3,13,0.8,0,1,11551.900000095367,,,,
3,0.3018814238757072,1,None,3,4,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,3,5,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,3,6,38,-0.8,0,0,,,,,
3,0.3018814238757072,1,None,3,7,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,4,0,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,4,1,207,0.8,0,1,2603.4000000953674,,,,
3,0.3018814238757072,1,None,4,2,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,4,3,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,4,4,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,4,5,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,4,6,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,4,7,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,5,0,172,0.8,0,1,3251.800000190735,,,,
3,0.3018814238757072,1,None,5,1,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,5,2,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,5,3,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,5,4,52,0.8,0,1,9833.900000095367,,,,
3,0.3018814238757072,1,None,5,5,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,5,6,102,0.8,0,1,6549.900000095367,,,,
3,0.3018814238757072,1,None,5,7,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,6,0,142,0.8,0,1,2933.9000000953674,,,,
3,0.3018814238757072,1,None,6,1,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,6,2,38,-0.8,0,0,,,,,
3,0.3018814238757072,1,None,6,3,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,6,4,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,6,5,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,6,6,263,0.8,0,1,6900.600000143051,,,,
3,0.3018814238757072,1,None,6,7,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,7,0,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,7,1,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,7,2,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,7,3,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,7,4,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,7,5,62,0.8,0,1,7285.900000095367,,,,
3,0.3018814238757072,1,None,7,6,38,0.8,0,0,,,,,
3,0.3018814238757072,1,None,7,7,38,0.8,0,0,,,,,
3,0.3018814238757072,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,158709.0,808.0,,,
4,0.3353654217764262,1,Scale,0,0,78,0.7984528726294569,0,0,,,,,
4,0.3353654217764262,1,Scale,0,1,89,0.7919514802208397,0,1,5879.799999952316,,,,
4,0.3353654217764262,1,Scale,0,2,78,-0.7915500145188903,0,0,,,,,
4,0.3353654217764262,1,Scale,0,3,149,0.6063730297730164,0,1,9915.700000047684,,,,
4,0.3353654217764262,1,Scale,0,4,15,0.7891015021003629,0,1,10760.700000047684,,,,
4,0.3353654217764262,1,Scale,0,5,78,0.8063933551680305,0,0,,,,,
4,0.3353654217764262,1,Scale,0,6,78,-0.8436559669923855,0,0,,,,,
4,0.3353654217764262,1,Scale,0,7,45,0.8581674658413985,0,1,16871.700000047684,,,,
4,0.3353654217764262,1,Scale,0,8,78,-0.8240982685326352,0,0,,,,,
4,0.3353654217764262,1,Scale,0,9,88,0.6851151989366526,0,1,25687.400000095367,,,,
4,0.3353654217764262,1,Scale,1,0,78,-0.7679426451943858,0,0,,,,,
4,0.3353654217764262,1,Scale,1,1,71,0.6217410575256826,0,1,3736.799999952316,,,,
4,0.3353654217764262,1,Scale,1,2,78,0.7388152495490301,0,0,,,,,
4,0.3353654217764262,1,Scale,1,3,78,-0.8338204289113351,0,0,,,,,
4,0.3353654217764262,1,Scale,1,4,78,0.7330001491458142,0,0,,,,,
4,0.3353654217764262,1,Scale,1,5,78,0.8873603204271188,0,0,,,,,
4,0.3353654217764262,1,Scale,1,6,78,0.668508410734412,0,0,,,,,
4,0.3353654217764262,1,Scale,1,7,9,0.7947596915944368,0,1,16552.5,,,,
4,0.3353654217764262,1,Scale,1,8,78,0.648668067478627,0,0,,,,,
4,0.3353654217764262,1,Scale,1,9,78,-0.6254758271061316,0,0,,,,,
4,0.3353654217764262,1,Scale,2,0,78,0.6443341394188724,0,0,,,,,
4,0.3353654217764262,1,Scale,2,1,78,0.8207888277566798,0,0,,,,,
4,0.3353654217764262,1,Scale,2,2,78,0.695210060782958,0,0,,,,,
4,0.3353654217764262,1,Scale,2,3,78,0.884931610996716,0,0,,,,,
4,0.3353654217764262,1,Scale,2,4,310,0.7122058486186935,0,1,11542.299999952316,,,,
4,0.3353654217764262,1,Scale,2,5,78,0.8302707173287628,0,0,,,,,
4,0.3353654217764262,1,Scale,2,6,78,-0.6543578113196495,0,0,,,,,
4,0.3353654217764262,1,Scale,2,7,98,0.724898643964942,0,1,17440.099999904633,,,,
4,0.3353654217764262,1,Scale,2,8,78,0.6899058076759084,0,0,,,,,
4,0.3353654217764262,1,Scale,2,9,78,0.6077022052212325,0,0,,,,,
4,0.3353654217764262,1,Scale,3,0,78,0.7484463870774456,0,0,,,,,
4,0.3353654217764262,1,Scale,3,1,78,0.773238742042135,0,0,,,,,
4,0.3353654217764262,1,Scale,3,2,78,0.7814623879899256,0,0,,,,,
4,0.3353654217764262,1,Scale,3,3,78,-0.6923392409059695,0,0,,,,,
4,0.3353654217764262,1,Scale,3,4,36,0.8260931780216195,0,1,11309.299999952316,,,,
4,0.3353654217764262,1,Scale,3,5,248,0.7677659970985113,0,1,15140.200000047684,,,,
4,0.3353654217764262,1,Scale,3,6,131,0.8265718854551931,0,1,15856.799999952316,,,,
4,0.3353654217764262,1,Scale,3,7,265,0.8219743256242432,0,1,17658.299999952316,,,,
4,0.3353654217764262,1,Scale,3,8,78,0.718835246169325,0,0,,,,,
4,0.3353654217764262,1,Scale,3,9,176,0.7824755165528341,0,1,26236.0,,,,
4,0.3353654217764262,1,Scale,4,0,78,0.7273876434974087,0,0,,,,,
4,0.3353654217764262,1,Scale,4,1,78,0.8985244768280403,0,0,,,,,
4,0.3353654217764262,1,Scale,4,2,78,0.7673185459607774,0,0,,,,,
4,0.3353654217764262,1,Scale,4,3,78,0.8128779573185715,0,0,,,,,
4,0.3353654217764262,1,Scale,4,4,377,0.6629254108777878,0,1,11943.900000095367,,,,
4,0.3353654217764262,1,Scale,4,5,78,0.8696916268611591,0,0,,,,,
4,0.3353654217764262,1,Scale,4,6,78,0.6420484816259316,0,0,,,,,
4,0.3353654217764262,1,Scale,4,7,104,0.6840656497510347,0,1,17939.599999904633,,,,
4,0.3353654217764262,1,Scale,4,8,78,0.6073108172553751,0,0,,,,,
4,0.3353654217764262,1,Scale,4,9,78,0.7377093060693031,0,0,,,,,
4,0.3353654217764262,1,Scale,5,0,78,0.7838032276910543,0,0,,,,,
4,0.3353654217764262,1,Scale,5,1,108,0.7875831533700052,0,1,5052.5,,,,
4,0.3353654217764262,1,Scale,5,2,78,0.8222523298801642,0,0,,,,,
4,0.3353654217764262,1,Scale,5,3,78,0.7344796493687704,0,0,,,,,
4,0.3353654217764262,1,Scale,5,4,78,0.6622075195891906,0,0,,,,,
4,0.3353654217764262,1,Scale,5,5,78,0.8571722721862877,0,0,,,,,
4,0.3353654217764262,1,Scale,5,6,210,0.6098044636048588,0,1,18691.29999995232,,,,
4,0.3353654217764262,1,Scale,5,7,78,0.820289278944579,0,0,,,,,
4,0.3353654217764262,1,Scale,5,8,17,-0.6663390427655305,0,1,24430.599999904636,,,,
4,0.3353654217764262,1,Scale,5,9,78,0.7606505300354716,0,0,,,,,
4,0.3353654217764262,1,Scale,6,0,78,0.7003213915542235,0,0,,,,,
4,0.3353654217764262,1,Scale,6,1,78,-0.8616698219432215,0,0,2121.9000000953674,4734.099999904633,,,
4,0.3353654217764262,1,Scale,6,2,78,0.830910497210425,0,0,,,,,
4,0.3353654217764262,1,Scale,6,3,78,0.695166904767108,0,0,,,,,
4,0.3353654217764262,1,Scale,6,4,78,0.8405607277370807,0,0,,,,,
4,0.3353654217764262,1,Scale,6,5,237,-0.6611976310318455,0,1,14141.200000047684,,,,
4,0.3353654217764262,1,Scale,6,6,78,0.7768072193710625,0,0,,,,,
4,0.3353654217764262,1,Scale,6,7,78,0.6359510939865806,0,0,,,,,
