trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5,6,7
3,0.3592207925785252,1,Rotate,7,5,225,0.8,1.104737027325187,0,,,,,,,,
3,0.3592207925785252,1,Rotate,7,6,225,0.8,-0.7572831782090273,0,,,,,,,,
3,0.3592207925785252,1,Rotate,7,7,225,0.8,-1.456729955527067,0,,,,,,,,
3,0.3592207925785252,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,89503.2,710.0,,,,,,
4,0.3161087210674787,1,None,0,0,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,1,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,2,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,3,269,0.8,0,1,8938.899999999994,,,,,,,
4,0.3161087210674787,1,None,0,4,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,5,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,6,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,7,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,8,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,0,9,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,1,0,50,-0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,1,1,183,0.8,0,1,3732.5999999999913,,,,,,,
4,0.3161087210674787,1,None,1,2,30,0.8,0,1,8252.099999999991,,,,,,,
4,0.3161087210674787,1,None,1,3,253,0.8,0,1,9332.399999999994,,,,,,,
4,0.3161087210674787,1,None,1,4,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,1,5,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,1,6,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,1,7,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,1,8,50,-0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,1,9,50,-0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,0,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,1,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,2,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,3,267,0.8,0,1,9748.0,,,,,,,
4,0.3161087210674787,1,None,2,4,79,0.8,0,1,10198.5,,,,,,,
4,0.3161087210674787,1,None,2,5,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,6,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,7,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,8,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,2,9,50,-0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,3,0,281,0.8,0,1,2231.5999999999913,,,,,,,
4,0.3161087210674787,1,None,3,1,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,3,2,61,0.8,0,1,7615.0,,,,,,,
4,0.3161087210674787,1,None,3,3,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,3,4,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,3,5,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,3,6,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,3,7,65,0.8,0,1,16915.199999999997,,,,,,,
4,0.3161087210674787,1,None,3,8,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,3,9,338,-0.8,0,1,19369.2,,,,,,,
4,0.3161087210674787,1,None,4,0,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,4,1,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,4,2,52,0.8,0,1,7187.0,,,,,,,
4,0.3161087210674787,1,None,4,3,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,4,4,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,4,5,50,-0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,4,6,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,4,7,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,4,8,271,-0.8,0,1,17433.899999999994,,,,,,,
4,0.3161087210674787,1,None,4,9,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,5,0,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,5,1,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,5,2,221,0.8,0,1,6398.800000000003,,,,,,,
4,0.3161087210674787,1,None,5,3,50,-0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,5,4,83,0.8,0,1,10884.399999999994,,,,,,,
4,0.3161087210674787,1,None,5,5,78,0.8,0,1,13316.199999999995,,,,,,,
4,0.3161087210674787,1,None,5,6,131,0.8,0,1,14068.399999999994,,,,,,,
4,0.3161087210674787,1,None,5,7,50,-0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,5,8,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,5,9,91,0.8,0,1,18833.300000000003,,,,,,,
4,0.3161087210674787,1,None,6,0,50,0.8,0,0,,,,,,,,
4,0.3161087210674787,1,None,6,1,151,0.8,0,1,4348.399999999994,,,,,,,
4,0.3161087210674787,1,None,6,2,16,0.8,0,1,5948.199999999997,,,,,,,
