trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5
4,0.3987911817469471,1,Composite,0,4,24,0.8071550782533081,0.9326972856695037,0,,,,,,
4,0.3987911817469471,1,Composite,0,5,24,0.7721194605244072,1.0732564917178093,0,,,,,,
4,0.3987911817469471,1,Composite,0,6,331,0.7832078121350441,-0.7805017558131092,1,,,,,,
4,0.3987911817469471,1,Composite,0,7,237,0.7827398170847525,1.2886616789092589,1,21923.60000002384,,,,,
4,0.3987911817469471,1,Composite,0,8,345,0.626580283732092,-0.5768021615055205,1,22248.10000002384,,,,,
4,0.3987911817469471,1,Composite,0,9,24,0.6392473529245046,0.5522452130403903,0,,,,,,
4,0.3987911817469471,1,Composite,1,0,137,0.6293005976131009,-0.6226943605064942,1,1825.399999976158,,,,,
4,0.3987911817469471,1,Composite,1,1,38,0.6886938389592379,1.143815054097458,1,6507.799999952316,,,,,
4,0.3987911817469471,1,Composite,1,2,136,0.6970034742160605,0.18259820726722809,1,7560.100000023842,,,,,
4,0.3987911817469471,1,Composite,1,3,24,0.811354248229771,1.3826000809479053,0,,,,,,
4,0.3987911817469471,1,Composite,1,4,97,0.6810492074912678,-0.3667650429904272,1,12137.899999976158,,,,,
4,0.3987911817469471,1,Composite,1,5,24,0.7599713100781783,0.8774896823262592,0,,,,,,
4,0.3987911817469471,1,Composite,1,6,13,0.644217752479536,-0.46991947784908317,1,19141.79999995232,,,,,
4,0.3987911817469471,1,Composite,1,7,24,0.6693140343880717,-0.530075277651306,0,,,,,,
4,0.3987911817469471,1,Composite,1,8,10,0.6687602135058697,0.004146848291757488,1,,,,,,
4,0.3987911817469471,1,Composite,1,9,158,0.7552519167656884,0.9424708427068755,1,29834.0,,,,,
4,0.3987911817469471,1,Composite,2,0,189,-0.7848632098125853,-0.4088426529241147,1,2274.100000023842,,,,,
4,0.3987911817469471,1,Composite,2,1,24,-0.7071198479400443,0.21565233491666747,0,,,,,,
4,0.3987911817469471,1,Composite,2,2,279,0.829555283363375,1.4401648309565958,1,8134.799999952316,,,,,
4,0.3987911817469471,1,Composite,2,3,24,0.7711184476184867,-1.2155465603952549,0,,,,,,
4,0.3987911817469471,1,Composite,2,4,24,0.799404634837006,-1.3470548556822506,0,,,,,,
4,0.3987911817469471,1,Composite,2,5,24,0.8392076534435655,0.04000265227872335,0,,,,,,
4,0.3987911817469471,1,Composite,2,6,24,0.8207290191590679,-0.45859818971136534,0,,,,,,
4,0.3987911817469471,1,Composite,2,7,24,0.6838509510320517,1.3636058960166437,0,,,,,,
4,0.3987911817469471,1,Composite,2,8,24,0.7078321800561059,0.24269007136517207,0,23563.699999928474,27639.699999928474,,,,
4,0.3987911817469471,1,Composite,2,9,283,0.6855692673376479,-1.4268069361438616,1,23217.5,,,,,
4,0.3987911817469471,1,Composite,3,0,24,0.725899752637735,-0.7867764705711493,0,,,,,,
4,0.3987911817469471,1,Composite,3,1,24,0.6266564243563709,-0.9031715813463862,0,,,,,,
4,0.3987911817469471,1,Composite,3,2,102,0.6183720493155191,-1.4297031547523165,1,8527.299999952316,,,,,
4,0.3987911817469471,1,Composite,3,3,24,0.7607341435021086,1.2068894031449005,0,11555.199999928474,,,,,
4,0.3987911817469471,1,Composite,3,4,24,0.6800028336442906,-0.4772595024804498,0,,,,,,
4,0.3987911817469471,1,Composite,3,5,24,0.7094587740082926,-1.542125573158126,0,,,,,,
4,0.3987911817469471,1,Composite,3,6,24,0.8259051442318388,-0.5661347206184171,0,,,,,,
4,0.3987911817469471,1,Composite,3,7,24,0.889048363743883,1.1712030693896098,0,,,,,,
4,0.3987911817469471,1,Composite,3,8,297,0.7465217206807074,0.755846067431587,1,24155.199999928474,,,,,
4,0.3987911817469471,1,Composite,3,9,24,0.7018512315216272,0.6718438016641288,0,,,,,,
4,0.3987911817469471,1,Composite,4,0,24,0.7943859550470231,-0.6309768754592977,0,,,,,,
4,0.3987911817469471,1,Composite,4,1,223,0.7854064114812602,-1.395111015589223,1,5878.299999952316,,,,,
4,0.3987911817469471,1,Composite,4,2,367,0.6524958026179428,-0.17348550307627342,1,8959.5,,,,,
4,0.3987911817469471,1,Composite,4,3,278,0.6050430626643684,-0.637375320986216,1,,,,,,
4,0.3987911817469471,1,Composite,4,4,332,0.8153153013236496,-0.5109213251979507,1,15084.600000023842,,,,,
