trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5,6,7,8,9
3,0.3228590904764338,1,Composite,2,0,75,0.6848650364789607,0.15913449846812533,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,2,1,79,0.8835828814921851,-1.144431704784231,1,4951.40000000038,,,,,,,,,
3,0.3228590904764338,1,Composite,2,2,290,0.6578858399140264,-0.36506762444589724,1,6935.500000000051,,,,,,,,,
3,0.3228590904764338,1,Composite,2,3,75,-0.7274844500562887,0.3563682651985989,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,2,4,75,0.7926665684110261,1.4868771141369912,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,2,5,171,0.7386196352058105,-1.5581178490671528,1,12879.30000000006,,,,,,,,,
3,0.3228590904764338,1,Composite,2,6,75,0.6898884826623202,1.0283022796638974,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,2,7,75,0.8494889169148642,-1.2275670066804663,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,3,0,260,0.6517392552770409,0.9496694479471586,1,2271.7000000002445,,,,,,,,,
3,0.3228590904764338,1,Composite,3,1,375,0.8373014460919833,-0.3847871616842067,1,5367.500000000291,,,,,,,,,
3,0.3228590904764338,1,Composite,3,2,75,0.6395777607575801,0.7593269103476126,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,3,3,75,0.7256178611835692,-1.23116013364445,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,3,4,75,0.6203493931811591,-0.5368352330426207,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,3,5,75,0.7699453266231996,1.1328644601174975,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,3,6,75,-0.8667746848355845,1.5588162876834941,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,3,7,75,-0.6101963815021652,-0.8216095453393671,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,4,0,75,0.8282513819329631,0.5073841592810204,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,4,1,75,0.7597471062227141,0.17512401044151105,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,4,2,75,0.8819557061744306,-0.8760434931487175,0,,,,,,,,,,
3,0.3228590904764338,1,Composite,4,3,172,0.7340564592979408,1.5500283849934249,1,10935.699999999995,,,,,,,,,
